Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
EQL Query Name ,00709,EQL,3,250,CE,,,5.10.5.1.3
EQL Query Statement ,00710,EQL,4,4096,ST,,,5.10.5.1.4
Event type ,01430,EQP,1,250,CE,,0450,13.4.12.1
File Name ,01431,EQP,2,20,ST,,,13.4.12.2
Start Date/Time ,01202,EQP,3,26,TS,,,13.4.12.3
End Date/Time ,01432,EQP,4,26,TS,,,13.4.12.4
Transaction Data ,01433,EQP,5,65536,FT,,,13.4.12.5
Equipment Instance Identifier ,01479,EQU,1,22,EI,,,13.4.1.1
Event Date/Time ,01322,EQU,2,26,TS,,,13.4.1.2
Equipment State ,01323,EQU,3,250,CE,,0365,13.4.1.3
Local/Remote Control State ,01324,EQU,4,250,CE,,0366,13.4.1.4
Alert Level ,01325,EQU,5,250,CE,,0367,13.4.1.5
Query Tag ,00696,ERQ,1,32,ST,,,5.10.5.2.1
Event Identifier ,00706,ERQ,2,250,CE,,,5.10.5.2.2
Input Parameter List ,00705,ERQ,3,256,QIP,Y,,5.10.5.2.3
Error Code and Location ,00024,ERR,1,493,ELD,Y,,2.15.5.1
Error Location ,01812,ERR,2,18,ERL,Y,,2.15.5.2
HL7 Error Code ,01813,ERR,3,705,CWE,,0357,2.15.5.3
Severity ,01814,ERR,4,2,ID,,0516,2.15.5.4
Application Error Code ,01815,ERR,5,705,CWE,,0533,2.15.5.5
Application Error Parameter ,01816,ERR,6,80,ST,Y,,2.15.5.6
Diagnostic Information ,01817,ERR,7,2048,TX,,,2.15.5.7
User Message ,01818,ERR,8,250,TX,,,2.15.5.8
Inform Person Indicator ,01819,ERR,9,20,IS,Y,0517,2.15.5.9
Override Type ,01820,ERR,10,705,CWE,,0518,2.15.5.10
Override Reason Code ,01821,ERR,11,705,CWE,Y,0519,2.15.5.11
Help Desk Contact Point ,01822,ERR,12,652,XTN,Y,,2.15.5.12
Event Type Code ,00099,EVN,1,3,ID,,0003,3.4.1.1
Recorded Date/Time ,00100,EVN,2,26,TS,,,3.4.1.2
Date/Time Planned Event ,00101,EVN,3,26,TS,,,3.4.1.3
Event Reason Code ,00102,EVN,4,3,IS,,0062,3.4.1.4
Operator ID ,00103,EVN,5,250,XCN,Y,0188,3.4.1.5
Event Occurred ,01278,EVN,6,26,TS,,,3.4.1.6
Event Facility ,01534,EVN,7,241,HD,,,3.4.1.7
Facility ID-FAC ,01262,FAC,1,20,EI,,,7.12.6.1
Facility Type ,01263,FAC,2,1,ID,,0331,7.12.6.2
Facility Address ,01264,FAC,3,250,XAD,Y,,7.12.6.3
Facility Telecommunication ,01265,FAC,4,250,XTN,,,7.12.6.4
Contact Person ,01266,FAC,5,250,XCN,Y,,7.12.6.5
Contact Title ,01267,FAC,6,60,ST,Y,,7.12.6.6
Contact Address ,01166,FAC,7,250,XAD,Y,,7.12.6.7
Contact Telecommunication ,01269,FAC,8,250,XTN,Y,,7.12.6.8
Signature Authority ,01270,FAC,9,250,XCN,Y,,7.12.6.9
Signature Authority Title ,01271,FAC,10,60,ST,,,7.12.6.10
Signature Authority Address ,01272,FAC,11,250,XAD,Y,,7.12.6.11
Signature Authority Telecommunication ,01273,FAC,12,250,XTN,,,7.12.6.12
File Field Separator ,00067,FHS,1,1,ST,,,2.15.6.1
File Encoding Characters ,00068,FHS,2,4,ST,,,2.15.6.2
File Sending Application ,00069,FHS,3,227,HD,,,2.15.6.3
File Sending Facility ,00070,FHS,4,227,HD,,,2.15.6.4
File Receiving Application ,00071,FHS,5,227,HD,,,2.15.6.5
File Receiving Facility ,00072,FHS,6,227,HD,,,2.15.6.6
File Creation Date/Time ,00073,FHS,7,26,TS,,,2.15.6.7
File Security ,00074,FHS,8,40,ST,,,2.15.6.8
File Name/ID ,00075,FHS,9,20,ST,,,2.15.6.9
File Header Comment ,00076,FHS,10,80,ST,,,2.15.6.10
File Control ID ,00077,FHS,11,20,ST,,,2.15.6.11
Reference File Control ID ,00078,FHS,12,20,ST,,,2.15.6.12
Set ID - FT1 ,00355,FT1,1,4,SI,,,6.5.1.1
Transaction ID ,00356,FT1,2,12,ST,,,6.5.1.2
Transaction Batch ID ,00357,FT1,3,10,ST,,,6.5.1.3
Transaction Date ,00358,FT1,4,53,DR,,,6.5.1.4
Transaction Posting Date ,00359,FT1,5,26,TS,,,6.5.1.5
Transaction Type ,00360,FT1,6,8,IS,,0017,6.5.1.6
Transaction Code ,00361,FT1,7,250,CE,,0132,6.5.1.7
Transaction Description ,00362,FT1,8,40,ST,,,6.5.1.8
Transaction Description - Alt ,00363,FT1,9,40,ST,,,6.5.1.9
Transaction Quantity ,00364,FT1,10,6,NM,,,6.5.1.10
Transaction Amount - Extended ,00365,FT1,11,12,CP,,,6.5.1.11
Transaction Amount - Unit ,00366,FT1,12,12,CP,,,6.5.1.12
Department Code ,00367,FT1,13,250,CE,,0049,6.5.1.13
Insurance Plan ID ,00368,FT1,14,250,CE,,0072,6.5.1.14
Insurance Amount ,00369,FT1,15,12,CP,,,6.5.1.15
Assigned Patient Location ,00133,FT1,16,80,PL,,,6.5.1.16
Fee Schedule ,00370,FT1,17,1,IS,,0024,6.5.1.17
Patient Type ,00148,FT1,18,2,IS,,0018,6.5.1.18
Diagnosis Code - FT1 ,00371,FT1,19,250,CE,Y,0051,6.5.1.19
Performed By Code ,00372,FT1,20,250,XCN,Y,0084,6.5.1.20
Ordered By Code ,00373,FT1,21,250,XCN,Y,,6.5.1.21
Unit Cost ,00374,FT1,22,12,CP,,,6.5.1.22
Filler Order Number ,00217,FT1,23,22,EI,,,6.5.1.23
Entered By Code ,00765,FT1,24,250,XCN,Y,,6.5.1.24
Procedure Code ,00393,FT1,25,250,CE,,0088,6.5.1.25
Procedure Code Modifier ,01316,FT1,26,250,CE,Y,0340,6.5.1.26
Advanced Beneficiary Notice Code ,01310,FT1,27,250,CE,,0339,6.5.1.27
Medically Necessary Duplicate Procedure Reason.,01646,FT1,28,250,CWE,,0476,6.5.1.28
NDC Code ,01845,FT1,29,250,CNE,,0549,6.5.1.29
Payment Reference ID ,01846,FT1,30,250,CX,,,6.5.1.30
Transaction Reference Key ,01847,FT1,31,4,SI,Y,,6.5.1.31
File Batch Count ,00079,FTS,1,10,NM,,,2.15.7.1
File Trailer Comment ,00080,FTS,2,80,ST,,,2.15.7.2
Action Code ,00816,GOL,1,2,ID,,0287,12.4.1.1
Action Date/Time ,00817,GOL,2,26,TS,,,12.4.1.2
Goal ID ,00818,GOL,3,250,CE,,,12.4.1.3
Goal Instance ID ,00819,GOL,4,60,EI,,,12.4.1.4
Episode of Care ID ,00820,GOL,5,60,EI,,,12.4.1.5
Goal List Priority ,00821,GOL,6,60,NM,,,12.4.1.6
Goal Established Date/Time ,00822,GOL,7,26,TS,,,12.4.1.7
Expected Goal Achieve Date/Time ,00824,GOL,8,26,TS,,,12.4.1.8
Goal Classification ,00825,GOL,9,250,CE,,,12.4.1.9
Goal Management Discipline ,00826,GOL,10,250,CE,,,12.4.1.10
Current Goal Review Status ,00827,GOL,11,250,CE,,,12.4.1.11
Current Goal Review Date/Time ,00828,GOL,12,26,TS,,,12.4.1.12
Next Goal Review Date/Time ,00829,GOL,13,26,TS,,,12.4.1.13
Previous Goal Review Date/Time ,00830,GOL,14,26,TS,,,12.4.1.14
Goal Review Interval ,00831,GOL,15,200,TQ,,,12.4.1.15
Goal Evaluation ,00832,GOL,16,250,CE,,,12.4.1.16
Goal Evaluation Comment ,00833,GOL,17,300,ST,Y,,12.4.1.17
Goal Life Cycle Status ,00834,GOL,18,250,CE,,,12.4.1.18
Goal Life Cycle Status Date/Time ,00835,GOL,19,26,TS,,,12.4.1.19
Goal Target Type ,00836,GOL,20,250,CE,Y,,12.4.1.20
Goal Target Name ,00837,GOL,21,250,XPN,Y,,12.4.1.21
Type of Bill Code ,01599,GP1,1,3,IS,,0455,6.5.15.1
Revenue Code ,01600,GP1,2,3,IS,Y,0456,6.5.15.2
Overall Claim Disposition Code ,01601,GP1,3,1,IS,,0457,6.5.15.3
OCE Edits per Visit Code ,01602,GP1,4,2,IS,Y,0458,6.5.15.4
Outlier Cost ,00387,GP1,5,12,CP,,,6.5.15.5
Revenue Code ,01600,GP2,1,3,IS,,0456,6.5.16.1
Number of Service Units ,01604,GP2,2,7,NM,,,6.5.16.2
Charge ,01605,GP2,3,12,CP,,,6.5.16.3
Reimbursement Action Code ,01606,GP2,4,1,IS,,0459,6.5.16.4
Denial or Rejection Code ,01607,GP2,5,1,IS,,0460,6.5.16.5
OCE Edit Code ,01608,GP2,6,3,IS,Y,0458,6.5.16.6
Ambulatory Payment Classification Code ,01609,GP2,7,250,CE,,0466,6.5.16.7
Modifier Edit Code ,01610,GP2,8,1,IS,Y,0467,6.5.16.8
Payment Adjustment Code ,01611,GP2,9,1,IS,,0468,6.5.16.9
Packaging Status Code ,01617,GP2,10,1,IS,,0469,6.5.16.10
Expected CMS Payment Amount ,01618,GP2,11,12,CP,,,6.5.16.11
Reimbursement Type Code ,01619,GP2,12,2,IS,,0470,6.5.16.12
Co-Pay Amount ,01620,GP2,13,12,CP,,,6.5.16.13
Pay Rate per Service Unit ,01621,GP2,14,4,NM,,,6.5.16.14
Set ID - GT1 ,00405,GT1,1,4,SI,,,6.5.5.1
Guarantor Number ,00406,GT1,2,250,CX,Y,,6.5.5.2
Guarantor Name ,00407,GT1,3,250,XPN,Y,,6.5.5.3
Guarantor Spouse Name ,00408,GT1,4,250,XPN,Y,,6.5.5.4
Guarantor Address ,00409,GT1,5,250,XAD,Y,,6.5.5.5
Guarantor Ph Num - Home ,00410,GT1,6,250,XTN,Y,,6.5.5.6
Guarantor Ph Num - Business ,00411,GT1,7,250,XTN,Y,,6.5.5.7
Guarantor Date/Time Of Birth ,00412,GT1,8,26,TS,,,6.5.5.8
Guarantor Administrative Sex ,00413,GT1,9,1,IS,,0001,6.5.5.9
Guarantor Type ,00414,GT1,10,2,IS,,0068,6.5.5.10
Guarantor Relationship ,00415,GT1,11,250,CE,,0063,6.5.5.11
Guarantor SSN ,00416,GT1,12,11,ST,,,6.5.5.12
Guarantor Date - Begin ,00417,GT1,13,8,DT,,,6.5.5.13
Guarantor Date - End ,00418,GT1,14,8,DT,,,6.5.5.14
Guarantor Priority ,00419,GT1,15,2,NM,,,6.5.5.15
Guarantor Employer Name ,00420,GT1,16,250,XPN,Y,,6.5.5.16
Guarantor Employer Address ,00421,GT1,17,250,XAD,Y,,6.5.5.17
Guarantor Employer Phone Number ,00422,GT1,18,250,XTN,Y,,6.5.5.18
Guarantor Employee ID Number ,00423,GT1,19,250,CX,Y,,6.5.5.19
Guarantor Employment Status ,00424,GT1,20,2,IS,,0066,6.5.5.20
Guarantor Organization Name ,00425,GT1,21,250,XON,Y,,6.5.5.21
Guarantor Billing Hold Flag ,00773,GT1,22,1,ID,,0136,6.5.5.22
Guarantor Credit Rating Code ,00774,GT1,23,250,CE,,0341,6.5.5.23
Guarantor Death Date And Time ,00775,GT1,24,26,TS,,,6.5.5.24
Guarantor Death Flag ,00776,GT1,25,1,ID,,0136,6.5.5.25
Guarantor Charge Adjustment Code ,00777,GT1,26,250,CE,,0218,6.5.5.26
Guarantor Household Annual Income ,00778,GT1,27,10,CP,,,6.5.5.27
Guarantor Household Size ,00779,GT1,28,3,NM,,,6.5.5.28
Guarantor Employer ID Number ,00780,GT1,29,250,CX,Y,,6.5.5.29
Guarantor Marital Status Code ,00781,GT1,30,250,CE,,0002,6.5.5.30
Guarantor Hire Effective Date ,00782,GT1,31,8,DT,,,6.5.5.31
Employment Stop Date ,00783,GT1,32,8,DT,,,6.5.5.32
Living Dependency ,00755,GT1,33,2,IS,,0223,6.5.5.33
Ambulatory Status ,00145,GT1,34,2,IS,Y,0009,6.5.5.34
Citizenship ,00129,GT1,35,250,CE,Y,0171,6.5.5.35
Primary Language ,00118,GT1,36,250,CE,,0296,6.5.5.36
Living Arrangement ,00742,GT1,37,2,IS,,0220,6.5.5.37
Publicity Code ,00743,GT1,38,250,CE,,0215,6.5.5.38
Protection Indicator ,00744,GT1,39,1,ID,,0136,6.5.5.39
Student Indicator ,00745,GT1,40,2,IS,,0231,6.5.5.40
Religion ,00120,GT1,41,250,CE,,0006,6.5.5.41
Mother's Maiden Name ,00109,GT1,42,250,XPN,Y,,6.5.5.42
Nationality ,00739,GT1,43,250,CE,,0212,6.5.5.43
Ethnic Group ,00125,GT1,44,250,CE,Y,0189,6.5.5.44
Contact Person's Name ,00748,GT1,45,250,XPN,Y,,6.5.5.45
Contact Person's Telephone Number ,00749,GT1,46,250,XTN,Y,,6.5.5.46
Contact Reason ,00747,GT1,47,250,CE,,0222,6.5.5.47
Contact Relationship ,00784,GT1,48,3,IS,,0063,6.5.5.48
Job Title ,00785,GT1,49,20,ST,,,6.5.5.49
Job Code/Class ,00786,GT1,50,20,JCC,,,6.5.5.50
Guarantor Employer's Organization Name ,01299,GT1,51,250,XON,Y,,6.5.5.51
Handicap ,00753,GT1,52,2,IS,,0295,6.5.5.52
Job Status ,00752,GT1,53,2,IS,,0311,6.5.5.53
Guarantor Financial Class ,01231,GT1,54,50,FC,,,6.5.5.54
Guarantor Race ,01291,GT1,55,250,CE,Y,0005,6.5.5.55
Guarantor Birth Place ,01851,GT1,56,250,ST,,,6.5.5.56
VIP Indicator ,00146,GT1,57,2,IS,,0099,6.5.5.57
Set ID - IAM ,01612,IAM,1,4,SI,,,3.4.7.1
Allergen Type Code ,00204,IAM,2,250,CE,,0127,3.4.7.2
Allergen Code/Mnemonic/Description ,00205,IAM,3,250,CE,,,3.4.7.3
Allergy Severity Code ,00206,IAM,4,250,CE,,0128,3.4.7.4
Allergy Reaction Code ,00207,IAM,5,15,ST,Y,,3.4.7.5
Allergy Action Code ,01551,IAM,6,250,CNE,,0323,3.4.7.6
Allergy Unique Identifier ,01552,IAM,7,427,EI,,,3.4.7.7
Action Reason ,01553,IAM,8,60,ST,,,3.4.7.8
Sensitivity to Causative Agent Code ,01554,IAM,9,250,CE,,0436,3.4.7.9
Allergen Group Code/Mnemonic/Description ,01555,IAM,10,250,CE,,,3.4.7.10
Onset Date ,01556,IAM,11,8,DT,,,3.4.7.11
Onset Date Text ,01557,IAM,12,60,ST,,,3.4.7.12
Reported Date/Time ,01558,IAM,13,8,TS,,,3.4.7.13
Reported By ,01559,IAM,14,250,XPN,,,3.4.7.14
Relationship to Patient Code ,01560,IAM,15,250,CE,,0063,3.4.7.15
Alert Device Code ,01561,IAM,16,250,CE,,0437,3.4.7.16
Allergy Clinical Status Code ,01562,IAM,17,250,CE,,0438,3.4.7.17
Statused by Person ,01563,IAM,18,250,XCN,,,3.4.7.18
Statused by Organization ,01564,IAM,19,250,XON,,,3.4.7.19
Statused at Date/Time ,01565,IAM,20,8,TS,,,3.4.7.20
Primary Key Value - IIM ,01897,IIM,1,250,CWE,,,8.12.2.1
Service Item Code ,01799,IIM,2,250,CWE,,,8.12.2.2
Inventory Lot Number ,01800,IIM,3,250,ST,,,8.12.2.3
Inventory Expiration Date ,01801,IIM,4,26,TS,,,8.12.2.4
Inventory Manufacturer Name ,01802,IIM,5,250,CWE,,,8.12.2.5
Inventory Location ,01803,IIM,6,250,CWE,,,8.12.2.6
Inventory Received Date ,01804,IIM,7,26,TS,,,8.12.2.7
Inventory Received Quantity ,01805,IIM,8,12,NM,,,8.12.2.8
Inventory Received Quantity Unit ,01806,IIM,9,250,CWE,,,8.12.2.9
Inventory Received Item Cost ,01807,IIM,10,12,MO,,,8.12.2.10
Inventory On Hand Date ,01808,IIM,11,26,TS,,,8.12.2.11
Inventory On Hand Quantity ,01809,IIM,12,12,NM,,,8.12.2.12
Inventory On Hand Quantity Unit ,01810,IIM,13,250,CWE,,,8.12.2.13
Procedure Code ,00393,IIM,14,250,CE,,0088,8.12.2.14
Procedure Code Modifier ,01316,IIM,15,250,CE,Y,0340,8.12.2.15
Set ID - IN1 ,00426,IN1,1,4,SI,,,6.5.6.1
Insurance Plan ID ,00368,IN1,2,250,CE,,0072,6.5.6.2
Insurance Company ID ,00428,IN1,3,250,CX,Y,,6.5.6.3
Insurance Company Name ,00429,IN1,4,250,XON,Y,,6.5.6.4
Insurance Company Address ,00430,IN1,5,250,XAD,Y,,6.5.6.5
Insurance Co Contact Person ,00431,IN1,6,250,XPN,Y,,6.5.6.6
Insurance Co Phone Number ,00432,IN1,7,250,XTN,Y,,6.5.6.7
Group Number ,00433,IN1,8,12,ST,,,6.5.6.8
Group Name ,00434,IN1,9,250,XON,Y,,6.5.6.9
Insured's Group Emp ID ,00435,IN1,10,250,CX,Y,,6.5.6.10
Insured's Group Emp Name ,00436,IN1,11,250,XON,Y,,6.5.6.11
Plan Effective Date ,00437,IN1,12,8,DT,,,6.5.6.12
Plan Expiration Date ,00438,IN1,13,8,DT,,,6.5.6.13
Authorization Information ,00439,IN1,14,239,AUI,,,6.5.6.14
Plan Type ,00440,IN1,15,3,IS,,0086,6.5.6.15
Name Of Insured ,00441,IN1,16,250,XPN,Y,,6.5.6.16
Insured's Relationship To Patient ,00442,IN1,17,250,CE,,0063,6.5.6.17
Insured's Date Of Birth ,00443,IN1,18,26,TS,,,6.5.6.18
Insured's Address ,00444,IN1,19,250,XAD,Y,,6.5.6.19
Assignment Of Benefits ,00445,IN1,20,2,IS,,0135,6.5.6.20
Coordination Of Benefits ,00446,IN1,21,2,IS,,0173,6.5.6.21
Coord Of Ben. Priority ,00447,IN1,22,2,ST,,,6.5.6.22
Notice Of Admission Flag ,00448,IN1,23,1,ID,,0136,6.5.6.23
Notice Of Admission Date ,00449,IN1,24,8,DT,,,6.5.6.24
Report Of Eligibility Flag ,00450,IN1,25,1,ID,,0136,6.5.6.25
Report Of Eligibility Date ,00451,IN1,26,8,DT,,,6.5.6.26
Release Information Code ,00452,IN1,27,2,IS,,0093,6.5.6.27
Pre-Admit Cert (PAC) ,00453,IN1,28,15,ST,,,6.5.6.28
Verification Date/Time ,00454,IN1,29,26,TS,,,6.5.6.29
Verification By ,00455,IN1,30,250,XCN,Y,,6.5.6.30
Type Of Agreement Code ,00456,IN1,31,2,IS,,0098,6.5.6.31
Billing Status ,00457,IN1,32,2,IS,,0022,6.5.6.32
Lifetime Reserve Days ,00458,IN1,33,4,NM,,,6.5.6.33
Delay Before L.R. Day ,00459,IN1,34,4,NM,,,6.5.6.34
Company Plan Code ,00460,IN1,35,8,IS,,0042,6.5.6.35
Policy Number ,00461,IN1,36,15,ST,,,6.5.6.36
Policy Deductible ,00462,IN1,37,12,CP,,,6.5.6.37
Policy Limit - Amount ,00463,IN1,38,12,CP,,,6.5.6.38
Policy Limit - Days ,00464,IN1,39,4,NM,,,6.5.6.39
Room Rate - Semi-Private ,00465,IN1,40,12,CP,,,6.5.6.40
Room Rate - Private ,00466,IN1,41,12,CP,,,6.5.6.41
Insured's Employment Status ,00467,IN1,42,250,CE,,0066,6.5.6.42
Insured's Administrative Sex ,00468,IN1,43,1,IS,,0001,6.5.6.43
Insured's Employer's Address ,00469,IN1,44,250,XAD,Y,,6.5.6.44
Verification Status ,00470,IN1,45,2,ST,,,6.5.6.45
Prior Insurance Plan ID ,00471,IN1,46,8,IS,,0072,6.5.6.46
Coverage Type ,01227,IN1,47,3,IS,,0309,6.5.6.47
Handicap ,00753,IN1,48,2,IS,,0295,6.5.6.48
Insured's ID Number ,01230,IN1,49,250,CX,Y,,6.5.6.49
Signature Code ,01854,IN1,50,1,IS,,0535,6.5.6.50
Signature Code Date ,01855,IN1,51,8,DT,,,6.5.6.51
Insured's Birth Place ,01899,IN1,52,250,ST,,,6.5.6.52
VIP Indicator ,01852,IN1,53,2,IS,,0099,6.5.6.53
Insured's Employee ID ,00472,IN2,1,250,CX,Y,,6.5.7.1
Insured's Social Security Number ,00473,IN2,2,11,ST,,,6.5.7.2
Insured's Employer's Name and ID ,00474,IN2,3,250,XCN,Y,,6.5.7.3
Employer Information Data ,00475,IN2,4,1,IS,,0139,6.5.7.4
Mail Claim Party ,00476,IN2,5,1,IS,Y,0137,6.5.7.5
Medicare Health Ins Card Number ,00477,IN2,6,15,ST,,,6.5.7.6
Medicaid Case Name ,00478,IN2,7,250,XPN,Y,,6.5.7.7
Medicaid Case Number ,00479,IN2,8,15,ST,,,6.5.7.8
Military Sponsor Name ,00480,IN2,9,250,XPN,Y,,6.5.7.9
Military ID Number ,00481,IN2,10,20,ST,,,6.5.7.10
Dependent Of Military Recipient ,00482,IN2,11,250,CE,,0342,6.5.7.11
Military Organization ,00483,IN2,12,25,ST,,,6.5.7.12
Military Station ,00484,IN2,13,25,ST,,,6.5.7.13
Military Service ,00485,IN2,14,14,IS,,0140,6.5.7.14
Military Rank/Grade ,00486,IN2,15,2,IS,,0141,6.5.7.15
Military Status ,00487,IN2,16,3,IS,,0142,6.5.7.16
Military Retire Date ,00488,IN2,17,8,DT,,,6.5.7.17
Military Non-Avail Cert On File ,00489,IN2,18,1,ID,,0136,6.5.7.18
Baby Coverage ,00490,IN2,19,1,ID,,0136,6.5.7.19
Combine Baby Bill ,00491,IN2,20,1,ID,,0136,6.5.7.20
Blood Deductible ,00492,IN2,21,1,ST,,,6.5.7.21
Special Coverage Approval Name ,00493,IN2,22,250,XPN,Y,,6.5.7.22
Special Coverage Approval Title ,00494,IN2,23,30,ST,,,6.5.7.23
Non-Covered Insurance Code ,00495,IN2,24,8,IS,Y,0143,6.5.7.24
Payor ID ,00496,IN2,25,250,CX,Y,,6.5.7.25
Payor Subscriber ID ,00497,IN2,26,250,CX,Y,,6.5.7.26
Eligibility Source ,00498,IN2,27,1,IS,,0144,6.5.7.27
Room Coverage Type/Amount ,00499,IN2,28,82,RMC,Y,,6.5.7.28
Policy Type/Amount ,00500,IN2,29,56,PTA,Y,,6.5.7.29
Daily Deductible ,00501,IN2,30,25,DDI,,,6.5.7.30
Living Dependency ,00755,IN2,31,2,IS,,0223,6.5.7.31
Ambulatory Status ,00145,IN2,32,2,IS,Y,0009,6.5.7.32
Citizenship ,00129,IN2,33,250,CE,Y,0171,6.5.7.33
Primary Language ,00118,IN2,34,250,CE,,0296,6.5.7.34
Living Arrangement ,00742,IN2,35,2,IS,,0220,6.5.7.35
Publicity Code ,00743,IN2,36,250,CE,,0215,6.5.7.36
Protection Indicator ,00744,IN2,37,1,ID,,0136,6.5.7.37
Student Indicator ,00745,IN2,38,2,IS,,0231,6.5.7.38
Religion ,00120,IN2,39,250,CE,,0006,6.5.7.39
Mother's Maiden Name ,00109,IN2,40,250,XPN,Y,,6.5.7.40
Nationality ,00739,IN2,41,250,CE,,0212,6.5.7.41
Ethnic Group ,00125,IN2,42,250,CE,Y,0189,6.5.7.42
Marital Status ,00119,IN2,43,250,CE,Y,0002,6.5.7.43
Insured's Employment Start Date ,00787,IN2,44,8,DT,,,6.5.7.44
Employment Stop Date ,00783,IN2,45,8,DT,,,6.5.7.45
Job Title ,00785,IN2,46,20,ST,,,6.5.7.46
Job Code/Class ,00786,IN2,47,20,JCC,,,6.5.7.47
Job Status ,00752,IN2,48,2,IS,,0311,6.5.7.48
Employer Contact Person Name ,00789,IN2,49,250,XPN,Y,,6.5.7.49
Employer Contact Person Phone Number ,00790,IN2,50,250,XTN,Y,,6.5.7.50
Employer Contact Reason ,00791,IN2,51,2,IS,,0222,6.5.7.51
Insured's Contact Person's Name ,00792,IN2,52,250,XPN,Y,,6.5.7.52
Insured's Contact Person Phone Number ,00793,IN2,53,250,XTN,Y,,6.5.7.53
Insured's Contact Person Reason ,00794,IN2,54,2,IS,Y,0222,6.5.7.54
Relationship to the Patient Start Date ,00795,IN2,55,8,DT,,,6.5.7.55
Relationship to the Patient Stop Date ,00796,IN2,56,8,DT,Y,,6.5.7.56
Insurance Co. Contact Reason ,00797,IN2,57,2,IS,,0232,6.5.7.57
Insurance Co Contact Phone Number ,00798,IN2,58,250,XTN,,,6.5.7.58
Policy Scope ,00799,IN2,59,2,IS,,0312,6.5.7.59
Policy Source ,00800,IN2,60,2,IS,,0313,6.5.7.60
Patient Member Number ,00801,IN2,61,250,CX,,,6.5.7.61
Guarantor's Relationship to Insured ,00802,IN2,62,250,CE,,0063,6.5.7.62
Insured's Phone Number - Home ,00803,IN2,63,250,XTN,Y,,6.5.7.63
Insured's Employer Phone Number ,00804,IN2,64,250,XTN,Y,,6.5.7.64
Military Handicapped Program ,00805,IN2,65,250,CE,,0343,6.5.7.65
Suspend Flag ,00806,IN2,66,1,ID,,0136,6.5.7.66
Copay Limit Flag ,00807,IN2,67,1,ID,,0136,6.5.7.67
Stoploss Limit Flag ,00808,IN2,68,1,ID,,0136,6.5.7.68
Insured Organization Name and ID ,00809,IN2,69,250,XON,Y,,6.5.7.69
Insured Employer Organization Name and ID ,00810,IN2,70,250,XON,Y,,6.5.7.70
Race ,00113,IN2,71,250,CE,Y,0005,6.5.7.71
CMS Patient's Relationship to Insured ,00811,IN2,72,250,CE,,0344,6.5.7.72
Set ID - IN3 ,00502,IN3,1,4,SI,,,6.5.8.1
Certification Number ,00503,IN3,2,250,CX,,,6.5.8.2
Certified By ,00504,IN3,3,250,XCN,Y,,6.5.8.3
Certification Required ,00505,IN3,4,1,ID,,0136,6.5.8.4
Penalty ,00506,IN3,5,23,MOP,,,6.5.8.5
Certification Date/Time ,00507,IN3,6,26,TS,,,6.5.8.6
Certification Modify Date/Time ,00508,IN3,7,26,TS,,,6.5.8.7
Operator ,00509,IN3,8,250,XCN,Y,,6.5.8.8
Certification Begin Date ,00510,IN3,9,8,DT,,,6.5.8.9
Certification End Date ,00511,IN3,10,8,DT,,,6.5.8.10
Days ,00512,IN3,11,6,DTN,,,6.5.8.11
Non-Concur Code/Description ,00513,IN3,12,250,CE,,0233,6.5.8.12
Non-Concur Effective Date/Time ,00514,IN3,13,26,TS,,,6.5.8.13
Physician Reviewer ,00515,IN3,14,250,XCN,Y,0010,6.5.8.14
Certification Contact ,00516,IN3,15,48,ST,,,6.5.8.15
Certification Contact Phone Number ,00517,IN3,16,250,XTN,Y,,6.5.8.16
Appeal Reason ,00518,IN3,17,250,CE,,0345,6.5.8.17
Certification Agency ,00519,IN3,18,250,CE,,0346,6.5.8.18
Certification Agency Phone Number ,00520,IN3,19,250,XTN,Y,,6.5.8.19
Pre-Certification Requirement ,00521,IN3,20,40,ICD,Y,,6.5.8.20
Case Manager ,00522,IN3,21,48,ST,,,6.5.8.21
Second Opinion Date ,00523,IN3,22,8,DT,,,6.5.8.22
Second Opinion Status ,00524,IN3,23,1,IS,,0151,6.5.8.23
Second Opinion Documentation Received ,00525,IN3,24,1,IS,Y,0152,6.5.8.24
Second Opinion Physician ,00526,IN3,25,250,XCN,Y,0010,6.5.8.25
Substance Identifier ,01372,INV,1,250,CE,,0451,13.4.4.1
Substance Status ,01373,INV,2,250,CE,Y,0383,13.4.4.2
Substance Type ,01374,INV,3,250,CE,,0384,13.4.4.3
Inventory Container Identifier ,01532,INV,4,250,CE,,,13.4.4.4
Container Carrier Identifier ,01376,INV,5,250,CE,,,13.4.4.5
Position on Carrier ,01377,INV,6,250,CE,,,13.4.4.6
Initial Quantity ,01378,INV,7,20,NM,,,13.4.4.7
Current Quantity ,01379,INV,8,20,NM,,,13.4.4.8
Available Quantity ,01380,INV,9,20,NM,,,13.4.4.9
Consumption Quantity ,01381,INV,10,20,NM,,,13.4.4.10
Quantity Units ,01382,INV,11,250,CE,,,13.4.4.11
Expiration Date/Time ,01383,INV,12,26,TS,,,13.4.4.12
First Used Date/Time ,01384,INV,13,26,TS,,,13.4.4.13
On Board Stability Duration ,01385,INV,14,200,TQ,,,13.4.4.14
Test/Fluid Identifier(s) ,01386,INV,15,250,CE,Y,,13.4.4.15
Manufacturer Lot Number ,01387,INV,16,200,ST,,,13.4.4.16
